Id,Index,SubIndex,Date,Time,Latitude,Longitude,A,Spin,Knots,Acceleration,Seconds,Elevation
70,7,0,220520,223811,42.17167343,-90.11330586,5708,183.5,10.6,0.154,13,199.90039
71,7,1,220520,223812,42.17162534,-90.11330779,5144,181.7,10.4,-0.103,1,199.90039
72,7,2,220520,223813,42.17157769,-90.11330734,4946,179.6,10.3,-0.051,1,199.90039
73,7,3,220520,223814,42.17153096,-90.11330756,3964,180.2,10.1,-0.103,1,199.90039
74,7,4,220520,223815,42.17148331,-90.11330722,4337,179.7,10.3,0.103,1,199.90039
75,7,5,220520,223816,42.17143473,-90.11330608,4689,179,10.5,0.103,1,199.90039
76,7,6,220520,223817,42.1713871,-90.11330799,4200,181.7,10.3,-0.103,1,199.90039
77,7,7,220520,223818,42.17134077,-90.11331622,4967,187.5,10.1,-0.103,1,199.7002
78,7,8,220520,223819,42.17129771,-90.11332438,4187,188,9.4,-0.36,1,199.7002
79,7,9,220520,223820,42.17126,-90.11333,4721,186.3,8.2,-0.617,1,199.5
80,8,0,220520,223818,42.17127932,-90.11319256,4335,258.1,11,1.44,-2,201.7002
81,8,1,220520,223819,42.17126701,-90.11325726,4383,255.6,10.7,-0.154,1,200.5
82,8,2,220520,223820,42.17125281,-90.11331994,4257,253,10.5,-0.103,1,199.5
83,8,3,220520,223821,42.17122046,-90.11331773,4527,177.1,7,-1.801,1,199.2002
84,8,4,220520,223822,42.1711961,-90.11331026,4562,167.2,5.4,-0.823,1,199.2002
85,8,5,220520,223823,42.17118468,-90.11330516,4267,161.7,2.6,-1.44,1,199.2002
86,8,6,220520,223824,42.17118514,-90.11330516,4298,0,0.1,-1.286,1,199.2002
87,8,7,220520,223825,42.17118607,-90.11330516,4273,0,0.2,0.051,1,199.2002
88,8,8,220520,223826,42.1711838,-90.11330455,3823,168.6,0.5,0.154,1,199.2002
89,8,9,220520,223827,42.17119,-90.11331,4018,326.9,1.6,0.566,1,199.2002
90,9,0,220520,223830,42.1712229,-90.11334918,3990,338.3,3,0.103,3,199.2002
91,9,1,220520,223831,42.17123571,-90.1133592,4071,329.9,3.2,0.103,1,199.5
92,9,2,220520,223832,42.17124704,-90.11337301,4048,317.9,3.3,0.051,1,199.5
93,9,3,220520,223833,42.17125663,-90.11338822,4019,310.4,3.2,-0.051,1,198.7002
94,9,4,220520,223834,42.17126285,-90.11340496,3902,296.6,3,-0.103,1,198.7002
95,9,5,220520,223835,42.17126718,-90.11342341,4015,287.6,3.1,0.051,1,198.7002
96,9,6,220520,223836,42.17126912,-90.11344132,4112,278.3,2.9,-0.103,1,198.7002
97,9,7,220520,223837,42.17126983,-90.11345502,4041,274,2.2,-0.36,1,198.7002
98,9,8,220520,223838,42.17127004,-90.11346438,4244,271.7,1.5,-0.36,1,198.7002
99,9,9,220520,223839,42.17127,-90.11347,4028,269.5,0.9,-0.309,1,198
100,10,0,220520,223855,42.17129459,-90.112932,4142,268.4,0.5,-0.206,16,204.7998
101,10,1,220520,223856,42.17129607,-90.11291526,4015,83.2,2.7,1.132,1,204.7998
102,10,2,220520,223857,42.17129904,-90.11288117,4191,83.3,5.5,1.44,1,204.7998
103,10,3,220520,223858,42.17130241,-90.11281077,3864,86.3,11.3,2.984,1,205.2998
104,10,4,220520,223859,42.17130637,-90.11273981,4315,85.7,11.4,0.051,1,205.7002
105,10,5,220520,223900,42.17131029,-90.11266947,3959,85.7,11.3,-0.051,1,206
106,10,6,220520,223901,42.17131204,-90.11259834,4177,88.1,11.4,0.051,1,206.2998
107,10,7,220520,223902,42.1713138,-90.1125266,3962,88.1,11.5,0.051,1,206.2998
108,10,8,220520,223903,42.17131257,-90.11245358,4961,91.3,11.7,0.103,1,206.60059
109,10,9,220520,223904,42.17131,-90.11238,4426,92.7,11.8,0.051,1,206.90039
110,11,0,220520,223905,42.171286,-90.11222916,4191,343.1,2.9,-4.579,1,207.10059
111,11,1,220520,223906,42.17129855,-90.11223347,4108,345.7,2.8,-0.051,1,207.5
112,11,2,220520,223907,42.17129884,-90.11215981,4306,89.7,11.8,4.63,1,207.7002
113,11,3,220520,223908,42.17129767,-90.11208492,4570,91.2,12,0.103,1,207.7002
114,11,4,220520,223909,42.17129649,-90.11200878,4576,91.2,12.2,0.103,1,207.60059
115,11,5,220520,223910,42.17129669,-90.11193262,4524,89.8,12.2,0,1,207.60059
116,11,6,220520,223911,42.17129542,-90.11185711,5288,91.3,12.1,-0.051,1,207.5
117,11,7,220520,223912,42.17129398,-90.11178285,4287,91.5,11.9,-0.103,1,207.5
118,11,8,220520,223913,42.17129182,-90.1117105,4395,92.3,11.6,-0.154,1,206.7002
119,11,9,220520,223914,42.17129,-90.11164,4200,92,11.3,-0.154,1,206.60059
120,12,0,220520,223926,42.17127671,-90.11083774,4000,85.4,9.8,0,12,204.60059
121,12,1,220520,223927,42.17127986,-90.11077546,4212,86.1,10,0.103,1,204.2002
122,12,2,220520,223928,42.17128133,-90.11071245,4220,88.2,10.1,0.051,1,203.90039
123,12,3,220520,223929,42.17128207,-90.11064878,4045,89.1,10.2,0.051,1,203.90039
124,12,4,220520,223930,42.17128166,-90.11058574,3871,90.5,10.1,-0.051,1,203.60059
125,12,5,220520,223931,42.17128182,-90.11052518,3938,89.8,9.7,-0.206,1,203.5
126,12,6,220520,223932,42.17128077,-90.11046715,4238,91.4,9.3,-0.206,1,203.5
127,12,7,220520,223933,42.17128135,-90.11041035,4512,89.2,9.1,-0.103,1,203.7002
128,12,8,220520,223934,42.17128514,-90.11036004,4275,84.2,8.1,-0.514,1,203.90039
129,12,9,220520,223935,42.17129,-90.11032,4265,80.7,6.5,-0.823,1,203.90039
130,13,0,220520,223928,42.17129498,-90.11077199,4090,90.6,11.1,2.366,-7,204.90039
131,13,1,220520,223929,42.17129426,-90.1107027,3871,90.8,11.1,0,1,204.60059
132,13,2,220520,223930,42.17129444,-90.11063653,4386,89.8,10.6,-0.257,1,204.60059
133,13,3,220520,223931,42.17129444,-90.11057161,4468,90,10.4,-0.103,1,204.2998
134,13,4,220520,223932,42.17129603,-90.11050985,4029,88,9.9,-0.257,1,204.10059
135,13,5,220520,223933,42.17129827,-90.11044813,4083,87.2,9.9,0,1,204.2998
136,13,6,220520,223934,42.17130078,-90.11038767,3824,86.8,9.7,-0.103,1,204.2998
137,13,7,220520,223935,42.17130339,-90.11032659,4114,86.7,9.8,0.051,1,204.40039
138,13,8,220520,223936,42.1713076,-90.1102959,4175,79.5,5,-2.469,1,204.40039
139,13,9,220520,223937,42.17131,-90.11028,4142,78.5,2.6,-1.235,1,204.40039
140,14,0,220520,223948,42.17133147,-90.11012409,4184,83.6,3.5,-0.36,11,204
141,14,1,220520,223949,42.17133237,-90.1101029,3918,86.7,3.4,-0.051,1,203.60059
142,14,2,220520,223950,42.17133271,-90.1100948,4112,86.8,1.3,-1.08,1,203.60059
143,14,3,220520,223951,42.17133317,-90.1100948,4009,0,0.1,-0.617,1,203.60059
144,14,4,220520,223952,42.17133317,-90.1100948,3978,0,0,-0.051,1,203.60059
145,14,5,220520,223953,42.17133317,-90.1100948,4002,0,0,0,1,203.60059
146,14,6,220520,223954,42.17133574,-90.11009214,4118,37.5,0.7,0.36,1,203.60059
147,14,7,220520,223955,42.17133899,-90.1100982,4160,305.9,1.2,0.257,1,203.60059
148,14,8,220520,223956,42.17133977,-90.11011252,4062,274.2,2.3,0.566,1,203.60059
149,14,9,220520,223957,42.17134,-90.11013,4052,271,2.8,0.257,1,204
150,15,0,220520,223951,42.17131243,-90.11025125,4041,78.5,0.7,-1.08,-6,204.40039
151,15,1,220520,223952,42.17131314,-90.11024635,4054,78.9,0.8,0.051,1,204.40039
152,15,2,220520,223953,42.17131536,-90.11023359,4210,76.8,2.1,0.669,1,204.40039
153,15,3,220520,223954,42.17131906,-90.1102136,4004,76,3.3,0.617,1,204.40039
154,15,4,220520,223955,42.17132385,-90.11018819,4005,75.7,4.2,0.463,1,204
155,15,5,220520,223956,42.17132888,-90.11016158,4045,75.7,4.4,0.103,1,204
156,15,6,220520,223957,42.17133252,-90.11013583,4252,79.2,4.2,-0.103,1,204
157,15,7,220520,223958,42.17133233,-90.11015268,3980,269.1,2.7,-0.772,1,204
158,15,8,220520,223959,42.17133127,-90.11017073,4015,265.5,2.9,0.103,1,204
159,15,9,220520,224000,42.17133,-90.11019,3997,264.9,3.1,0.103,1,204
160,16,0,220520,224007,42.17132844,-90.11034726,4070,258.4,1,-0.669,7,204.40039
161,16,1,220520,224008,42.17132765,-90.11035467,4150,261.8,1.2,0.103,1,204.40039
162,16,2,220520,224009,42.17132904,-90.11035467,4738,0,0.3,-0.463,1,204.40039
163,16,3,220520,224010,42.17132468,-90.11034739,4079,128.9,1.5,0.617,1,204.40039
164,16,4,220520,224011,42.17132468,-90.11032616,4280,90,3.4,0.977,1,204.40039
165,16,5,220520,224012,42.17132772,-90.11029019,4268,83.5,5.8,1.235,1,204.40039
166,16,6,220520,224013,42.17133316,-90.11025092,4305,79.4,6.4,0.309,1,204.40039
167,16,7,220520,224014,42.17134057,-90.1102039,4357,78,7.7,0.669,1,204
168,16,8,220520,224015,42.17134669,-90.11016099,5329,79.1,7,-0.36,1,204
169,16,9,220520,224016,42.17135,-90.11011,4687,85,8.2,0.617,1,203.60059
170,17,0,220520,224011,42.17135619,-90.11000444,4002,266.7,3.7,-2.315,-5,203.90039
171,17,1,220520,224012,42.17135466,-90.1100312,3972,265.6,4.3,0.309,1,203.40039
172,17,2,220520,224013,42.17135222,-90.11005658,4052,262.6,4.1,-0.103,1,203.60059
173,17,3,220520,224014,42.17134865,-90.11008045,4109,258.6,3.9,-0.103,1,203.60059
174,17,4,220520,224015,42.17134498,-90.11010173,4172,256.9,3.5,-0.206,1,203.60059
175,17,5,220520,224016,42.17134259,-90.11011572,4273,257,2.3,-0.617,1,203.60059
176,17,6,220520,224017,42.17134348,-90.11006267,3734,88.7,8.5,3.19,1,203.60059
177,17,7,220520,224018,42.17134467,-90.11000838,4063,88.3,8.7,0.103,1,203.40039
178,17,8,220520,224019,42.1713434,-90.10995036,4324,91.7,9.3,0.309,1,203.40039
179,17,9,220520,224020,42.17134,-90.1099,4595,95.2,8.1,-0.617,1,203.2998
180,18,0,220520,224034,42.17123936,-90.10895018,5185,98,13,0,14,205
181,18,1,220520,224035,42.1712322,-90.10887778,4395,97.6,11.7,-0.669,1,205.7002
182,18,2,220520,224036,42.17122571,-90.10880842,4823,97.2,11.2,-0.257,1,205.5
