Id,Index,SubIndex,Date,Time,Latitude,Longitude,A,Spin,Knots,Acceleration,Seconds
0,0,0,280520,210712,40.20206584,-89.71815,4197,0,0,0,0
1,0,1,280520,210713,40.20206584,-89.71815,4194,0,0,0,1
2,0,2,280520,210714,40.20206584,-89.71815,4207,0,0,0,1
3,0,3,280520,210715,40.20206584,-89.71815,4156,0,0,0,1
4,0,4,280520,210716,40.20206584,-89.71815,4179,0,0,0,1
5,0,5,280520,210717,40.20206584,-89.71815,4160,0,0,0,1
6,0,6,280520,210718,40.20206584,-89.71815,4187,0,0,0,1
7,0,7,280520,210719,40.20206584,-89.71815,4216,0,0,0,1
8,0,8,280520,210720,40.20206722,-89.71815,4134,0,0.3,0.154,1
9,0,9,280520,210721,40.20207,-89.71815,4179,0,0.6,0.154,1
10,1,0,280520,210722,40.20204761,-89.71812906,4163,0,0.6,0,1
11,1,1,280520,210723,40.20204993,-89.71812906,4156,0,0.5,-0.051,1
12,1,2,280520,210724,40.20205316,-89.71812906,4238,0,0.7,0.103,1
13,1,3,280520,210725,40.20205839,-89.71812517,4238,29.6,1.3,0.309,1
14,1,4,280520,210726,40.20206357,-89.71812117,4136,30.6,1.3,0,1
15,1,5,280520,210727,40.2020687,-89.71811705,4267,31.5,1.3,0,1
16,1,6,280520,210728,40.20207343,-89.71811324,4265,31.6,1.2,-0.051,1
17,1,7,280520,210729,40.20207908,-89.71810909,4153,29.3,1.4,0.103,1
18,1,8,280520,210730,40.20208506,-89.71810449,4196,30.4,1.5,0.051,1
19,1,9,280520,210731,40.20209,-89.7181,4227,34.8,1.3,-0.103,1
20,2,0,280520,210746,40.20214769,-89.71808,4180,30.9,0.7,0.309,15
21,2,1,280520,210747,40.20214861,-89.71808,4172,0,0.2,-0.257,1
22,2,2,280520,210748,40.20214907,-89.71808,4157,0,0.1,-0.051,1
23,2,3,280520,210749,40.20214954,-89.71808,4158,0,0.1,0,1
24,2,4,280520,210750,40.20215,-89.71808,4141,0,0.1,0,1
25,2,5,280520,210751,40.20215,-89.71808,4106,0,0,-0.051,1
26,2,6,280520,210752,40.20215,-89.71808,4133,0,0,0,1
27,2,7,280520,210753,40.20215,-89.71808,4162,0,0,0,1
28,2,8,280520,210754,40.20215,-89.71808,4139,0,0,0,1
29,2,9,280520,210755,40.20215,-89.71808,4195,0,0,0,1
30,3,0,290520,121906,40.20155728,-89.71823602,4216,222.9,4.6,2.366,54671
31,3,1,290520,121907,40.20154215,-89.71825562,4249,224.7,4.6,0,1
32,3,2,290520,121908,40.20152729,-89.71827556,4257,225.7,4.6,0,1
33,3,3,290520,121909,40.20151293,-89.7182953,4204,226.4,4.5,-0.051,1
34,3,4,290520,121910,40.20149908,-89.71831565,4168,228.3,4.5,0,1
35,3,5,290520,121911,40.20148495,-89.71833649,4157,228.4,4.6,0.051,1
36,3,6,290520,121912,40.20147096,-89.71835668,4174,227.8,4.5,-0.051,1
37,3,7,290520,121913,40.20145695,-89.71837765,4200,228.8,4.6,0.051,1
38,3,8,290520,121914,40.20144351,-89.71839847,4268,229.8,4.5,-0.051,1
39,3,9,290520,121915,40.20143,-89.71842,4304,230.6,4.6,0.051,1
40,4,0,290520,121916,40.20141976,-89.71843963,4169,231,4.6,0,1
41,4,1,290520,121917,40.20140674,-89.7184609,4262,231.3,4.5,-0.051,1
42,4,2,290520,121918,40.20139358,-89.7184828,4202,231.8,4.6,0.051,1
43,4,3,290520,121919,40.20138102,-89.71850454,4261,232.9,4.5,-0.051,1
44,4,4,290520,121920,40.20136905,-89.71852684,4242,234.9,4.5,0,1
45,4,5,290520,121921,40.20135836,-89.71855023,4326,239.1,4.5,0,1
46,4,6,290520,121922,40.20134933,-89.71857344,4141,243,4.3,-0.103,1
47,4,7,290520,121923,40.20134374,-89.71859844,4237,253.7,4.3,0,1
48,4,8,290520,121924,40.20133829,-89.71862223,4350,253.3,4.1,-0.103,1
49,4,9,290520,121925,40.20134,-89.71865,4337,274.6,4.6,0.257,1
50,5,0,290520,121949,40.20141808,-89.71897,4206,0,0.9,-0.051,24
51,5,1,290520,121950,40.20142317,-89.71897,4190,0,1.1,0.103,1
52,5,2,290520,121951,40.20142779,-89.71897,4248,0,1,-0.051,1
53,5,3,290520,121952,40.20143288,-89.71897,4095,0,1.1,0.051,1
54,5,4,290520,121953,40.20143705,-89.71897,4198,0,0.9,-0.103,1
55,5,5,290520,121954,40.20143797,-89.71897,4242,0,0.2,-0.36,1
56,5,6,290520,121955,40.2014389,-89.71897,4317,0,0.2,0,1
57,5,7,290520,121956,40.2014426,-89.71897,4275,0,0.8,0.309,1
58,5,8,290520,121957,40.20144537,-89.71897,4213,0,0.6,-0.103,1
59,5,9,290520,121958,40.20145,-89.71897,4212,0,1,0.206,1
60,6,0,290520,122012,40.20135936,-89.71895,4190,0,1.5,0.669,14
61,6,1,290520,122013,40.20136445,-89.71895,4260,0,1.1,-0.206,1
62,6,2,290520,122014,40.20136445,-89.71895,4334,0,0,-0.566,1
63,6,3,290520,122015,40.20136445,-89.71895,4192,0,0,0,1
64,6,4,290520,122016,40.20136491,-89.71895,4314,0,0.1,0.051,1
