index,acc_ave,distance,speed,time,medianSpin,medianVibration
95,13.549,548.7345,60.9705,9,292.05,5557.0
96,15.07934693877551,18102.756,369.444,49,291.95,5643.0
97,14.013666666666667,567.5535,63.061499999999995,9,291.8,5720.5
98,13.679333333333332,554.0129999999999,61.55699999999999,9,292.0,5343.0
99,13.747333333333334,556.767,61.86300000000001,9,291.85,5180.5
100,13.622666666666667,551.7180000000001,61.30200000000001,9,292.05,5487.0
101,15.088714285714286,18114.0015,369.6735,49,292.05,5239.5
102,13.645333333333333,552.636,61.403999999999996,9,291.8,5533.5
103,13.622666666666667,551.7180000000001,61.30200000000001,9,291.79999999999995,5452.0
104,13.684999999999999,554.2425,61.582499999999996,9,292.15,5342.5
105,13.736,556.308,61.812,9,291.45,5370.0
106,13.724666666666668,555.849,61.761,9,292.05,5356.0
107,13.747333333333334,556.767,61.86300000000001,9,291.95,5405.0
108,13.594333333333335,550.5705,61.1745,9,291.9,5455.0
109,13.684999999999999,554.2425,61.582499999999996,9,291.8,5292.5
110,13.781333333333333,558.144,62.016,9,291.85,5452.5
111,13.741666666666667,556.5375,61.837500000000006,9,291.7,5324.0
112,15.135551020408165,18170.229000000003,370.8210000000001,49,291.7,5481.0
113,13.849333333333334,560.898,62.322,9,292.2,5282.0
114,13.645333333333333,552.636,61.403999999999996,9,292.1,5459.5
115,13.605666666666668,551.0295000000001,61.22550000000001,9,291.65,5336.0
116,13.866333333333335,561.5865000000001,62.39850000000001,9,291.95,5443.5
117,15.291673469387757,18357.654000000002,374.6460000000001,49,291.75,5096.5
118,13.639666666666667,552.4065,61.3785,9,291.9,5318.0
119,13.639666666666667,552.4065,61.3785,9,291.85,5391.5
120,13.645333333333333,552.636,61.403999999999996,9,291.95,5616.0
121,13.679333333333332,554.0129999999999,61.55699999999999,9,291.5,5520.5
122,15.23234693877551,18286.4325,373.1925,49,287.65,5149.0
123,13.985333333333333,566.406,62.934,9,285.7,5270.0
124,13.441333333333333,544.374,60.486000000000004,9,283.1,5446.5
125,14.370666666666665,582.012,64.66799999999999,9,281.9,4984.0
126,12.835,519.8175,57.7575,9,282.0,5576.5
127,14.115666666666668,571.6845000000001,63.520500000000006,9,282.0,5472.5
128,13.407333333333334,542.9970000000001,60.333000000000006,9,281.85,5369.5
129,14.472666666666669,586.143,65.12700000000001,9,283.05,4812.0
130,13.486666666666668,546.21,60.690000000000005,9,286.75,5102.5
131,13.645333333333333,552.636,61.403999999999996,9,275.45,5338.0
132,13.77,557.685,61.964999999999996,9,279.95,5118.0
133,15.243795918367347,18300.177,373.473,49,283.1,5251.5
134,13.628333333333334,551.9475,61.3275,9,282.29999999999995,5393.0
135,13.781333333333333,558.144,62.016,9,282.15,5459.0
136,13.781333333333333,558.144,62.016,9,281.9,5382.0
137,13.781333333333333,558.144,62.016,9,281.9,5531.0
138,15.138673469387756,18173.9775,370.89750000000004,49,281.9,5584.5
