Id,Index,Date,Time,Latitude,Longitude,A,Spin,Knots,Acceleration,deltaSpin,deltaVelocity,isCurve
4682,468,10620,133415,40.17712,-90.0581,4168,0,0,0,0,0,0
4683,468,10620,133416,40.17712,-90.0581,4137,0,0,0,0,0,0
4684,468,10620,133417,40.17712,-90.0581,4163,0,0,0,0,0,0
4685,468,10620,133418,40.17712,-90.0581,4146,0,0,0,0,0,0
4686,468,10620,133419,40.17712,-90.0581,4087,0,0,0,0,0,0
4687,468,10620,133420,40.17712,-90.0581,4130,0,0,0,0,0,0
4688,468,10620,133421,40.17712,-90.0581,4157,0,0,0,0,0,0
4689,468,10620,133422,40.17712,-90.0581,4186,0,0,0,0,0,0
4690,469,10620,133423,40.17710954,-90.0581,4182,0,0,0,0,0,0
4691,469,10620,133424,40.17710954,-90.0581,4150,0,0,0,0,0,0
4692,469,10620,133425,40.17710954,-90.0581,4171,0,0,0,0,0,0
4693,469,10620,133426,40.17711,-90.0581,4112,0,0.1,0.051,0,0.1,0
4694,469,10620,133427,40.17711,-90.0581,4195,0,0,-0.051,0,-0.1,0
4695,469,10620,133428,40.17711,-90.0581,4149,0,0,0,0,0,0
4696,469,10620,133429,40.17711,-90.0581,4117,0,0,0,0,0,0
4697,469,10620,133430,40.17711,-90.0581,4145,0,0,0,0,0,0
4698,469,10620,133431,40.17711,-90.0581,4115,0,0,0,0,0,0
4699,469,10620,133432,40.17711,-90.0581,4164,0,0,0,0,0,0
4700,470,10620,133437,40.17710861,-90.0581,4137,0,0,0,0,0,0
4701,470,10620,133438,40.17710861,-90.0581,4115,0,0,0,0,0,0
4702,470,10620,133439,40.17710861,-90.0581,4135,0,0,0,0,0,0
4703,470,10620,133440,40.17710861,-90.0581,4150,0,0,0,0,0,0
4704,470,10620,133441,40.17710861,-90.0581,4153,0,0,0,0,0,0
4705,470,10620,133442,40.17710861,-90.0581,4136,0,0,0,0,0,0
4706,470,10620,133443,40.17710954,-90.0581,4179,0,0.2,0.103,0,0.2,0
4707,470,10620,133444,40.17711,-90.0581,4132,0,0.1,-0.051,0,-0.1,0
4708,470,10620,133445,40.17711,-90.0581,4174,0,0,-0.051,0,-0.1,0
4709,470,10620,133446,40.17711,-90.0581,4147,0,0,0,0,0,0
4710,471,10620,133447,40.17710954,-90.0581,4089,0,0,0,0,0,0
4711,471,10620,133448,40.17711,-90.0581,4188,0,0.1,0.051,0,0.1,0
